Date Contrôle,Numero Voie,Type Voie,Libellé Voie,Arrondissement,Numéro Arrêté,Date signature,Date notification,geo_coordinates
2010-05-26 08:00:00+08:00,24,rue,Léon (lot 47),,331,2010-05-26 08:00:00+08:00,2010-05-29 08:00:00+08:00,"48.88818, 2.35356"
2010-02-15 08:00:00+08:00,20,rue,Roses,,231,2010-02-15 08:00:00+08:00,2010-02-24 08:00:00+08:00,"48.893253, 2.36167"
2010-03-17 08:00:00+08:00,,rue,Dénoyez (lot 78),,256,2010-03-17 08:00:00+08:00,2010-04-16 08:00:00+08:00,"48.871551, 2.378569"
2010-07-22 08:00:00+08:00,38,rue,Belleville (lot 20),,396,2010-07-22 08:00:00+08:00,2010-07-27 08:00:00+08:00,"48.87295, 2.380344"
2010-11-05 08:00:00+08:00,,rue,Dénoyez (lot 403),,311,2010-10-05 08:00:00+08:00,,"48.871551, 2.378569"
2010-02-16 08:00:00+08:00,71,rue,Rigoles,,234,2010-02-15 08:00:00+08:00,2010-02-25 08:00:00+08:00,"48.873209, 2.391212"
2010-06-21 08:00:00+08:00,5,rue,Caplat (lot 13),,347,2010-06-21 08:00:00+08:00,,"48.884492, 2.352327"
2010-07-22 08:00:00+08:00,38,rue,Belleville (lots 19 et 21),,397,2010-07-22 08:00:00+08:00,2010-07-27 08:00:00+08:00,"48.87295, 2.380344"
2010-11-19 08:00:00+08:00,,impasse,Daunay,,438,2010-11-19 08:00:00+08:00,,"35.292455, -93.729909"
2010-05-26 08:00:00+08:00,24,rue,Léon ( lot 73),,332,2010-05-26 08:00:00+08:00,2010-02-06 08:00:00+08:00,"48.88818, 2.35356"
2010-01-26 08:00:00+08:00,28,rue,Lesage,,194,2010-01-26 08:00:00+08:00,2010-03-26 08:00:00+08:00,"48.872492, 2.382835"
2010-02-16 08:00:00+08:00,42,rue,Tourtille (lot 19),,241,2010-02-16 08:00:00+08:00,2010-10-03 08:00:00+08:00,"48.872552, 2.380108"
2010-03-17 08:00:00+08:00,,rue,Dénoyez (lot 66),,261,2010-03-17 08:00:00+08:00,2010-04-14 08:00:00+08:00,"48.871551, 2.378569"
2010-04-15 08:00:00+08:00,24,rue,Léon (lot 69-70),,300,2010-04-15 08:00:00+08:00,,"48.88818, 2.35356"
2010-05-03 08:00:00+08:00,38,rue,Belleville,,248,2010-05-03 08:00:00+08:00,2010-03-18 08:00:00+08:00,"48.87295, 2.380344"
2010-06-21 08:00:00+08:00,5,rue,Caplat (lot 31),,360,2010-06-21 08:00:00+08:00,,"48.884492, 2.352327"
2010-07-22 08:00:00+08:00,38,rue,Belleville (lot 23),,388,2010-07-22 08:00:00+08:00,,"48.87295, 2.380344"
2010-08-09 08:00:00+08:00,42,rue,Tourtille (lot 4),,414,2010-07-09 08:00:00+08:00,,"48.872552, 2.380108"
2010-04-14 08:00:00+08:00,77,avenue,Jean Jaurès,,279,2010-04-14 08:00:00+08:00,2010-07-05 08:00:00+08:00,"48.884833, 2.378057"
2010-04-16 08:00:00+08:00,24,rue,Léon (lot 38),,302,2010-04-16 08:00:00+08:00,,"48.88818, 2.35356"
2010-07-22 08:00:00+08:00,38,rue,Belleville (lot 42 et 43),,390,2010-07-22 08:00:00+08:00,2010-07-27 08:00:00+08:00,"48.87295, 2.380344"
2010-11-05 08:00:00+08:00,,rue,Dénoyez (lot 388),,326,2010-10-05 08:00:00+08:00,2010-05-28 08:00:00+08:00,"48.871551, 2.378569"
2010-07-06 08:00:00+08:00,193,rue,Crimée,,339,2010-07-06 08:00:00+08:00,,"48.891225, 2.376053"
2010-06-21 08:00:00+08:00,5,rue,Caplat (lot 36),,358,2010-06-21 08:00:00+08:00,,"48.884492, 2.352327"
2010-03-17 08:00:00+08:00,22,rue,Bachelet,,250,2010-03-17 08:00:00+08:00,2010-03-30 08:00:00+08:00,"48.889027, 2.344643"
2010-04-15 08:00:00+08:00,24,rue,Léon (lot 46),,280,2010-04-15 08:00:00+08:00,,"48.88818, 2.35356"
2010-01-02 08:00:00+08:00,45,rue,Tourtille,,211,2010-01-28 08:00:00+08:00,2010-02-13 08:00:00+08:00,"48.872415, 2.38021"
2010-07-22 08:00:00+08:00,38,rue,Belleville (lot 3),,405,2010-07-22 08:00:00+08:00,2010-07-27 08:00:00+08:00,"48.87295, 2.380344"
2010-11-05 08:00:00+08:00,,rue,Dénoyez (lot 413),,309,2010-10-05 08:00:00+08:00,2010-05-14 08:00:00+08:00,"48.871551, 2.378569"
2010-11-05 08:00:00+08:00,,rue,Dénoyez (lot 415),,328,2010-10-05 08:00:00+08:00,2010-05-21 08:00:00+08:00,"48.871551, 2.378569"
2010-01-26 08:00:00+08:00,33,rue,Ménilmontant,,177,2010-01-26 08:00:00+08:00,2010-02-19 08:00:00+08:00,"48.867612, 2.38528"
2010-02-11 08:00:00+08:00,100,rue,Aubervilliers,,437,2010-02-11 08:00:00+08:00,,"48.889946, 2.368229"
2010-06-21 08:00:00+08:00,5,rue,Caplat (lot 21),,365,2010-06-21 08:00:00+08:00,,"48.884492, 2.352327"
2010-02-16 08:00:00+08:00,18,rue,Forge Royale,,235,2010-02-15 08:00:00+08:00,2010-02-24 08:00:00+08:00,"48.851567, 2.380574"
2010-12-07 08:00:00+08:00,18,passage,Gustave Lepeu (lot 10),,375,2010-12-07 08:00:00+08:00,2010-10-27 08:00:00+08:00,"48.856245, 2.387388"
