,Numéro Arrêté,longitude,latitude
0,331,2.35356,48.88818
1,231,2.36167,48.893253
2,256,2.378569,48.871551
3,396,2.380344,48.87295
4,311,2.378569,48.871551
5,234,2.391212,48.873209
6,347,2.352327,48.884492
7,397,2.380344,48.87295
9,332,2.35356,48.88818
10,194,2.382835,48.872492
11,241,2.380108,48.872552
12,261,2.378569,48.871551
13,300,2.35356,48.88818
14,248,2.380344,48.87295
15,360,2.352327,48.884492
16,388,2.380344,48.87295
17,414,2.380108,48.872552
18,279,2.378057,48.884833
19,302,2.35356,48.88818
20,390,2.380344,48.87295
21,326,2.378569,48.871551
22,339,2.376053,48.891225
23,358,2.352327,48.884492
24,250,2.344643,48.889027
25,280,2.35356,48.88818
26,211,2.38021,48.872415
27,405,2.380344,48.87295
28,309,2.378569,48.871551
29,328,2.378569,48.871551
30,177,2.38528,48.867612
31,437,2.368229,48.889946
32,365,2.352327,48.884492
33,235,2.380574,48.851567
34,375,2.387388,48.856245
35,416,2.382315,48.872551
36,181,2.377117,48.857788
37,427,2.38081,48.871831
38,218,2.384325,48.87365
39,410,2.380687,48.845684
40,213,2.38021,48.872415
41,229,2.382315,48.872551
42,243,2.343479,48.895483
43,244,2.375636,48.824882
44,266,2.378569,48.871551
45,362,2.352327,48.884492
46,346,2.352327,48.884492
47,221,2.382239,48.871101
48,275,2.387388,48.856245
49,263,2.378569,48.871551
50,342,2.352327,48.884492
51,224,2.382239,48.871101
52,172,2.38528,48.867612
53,237,2.380108,48.872552
54,245,2.379317,48.871092
55,247,2.37119,48.877323
56,354,2.352327,48.884492
57,387,2.380344,48.87295
58,207,2.377117,48.857788
59,315,2.378569,48.871551
60,320,2.378569,48.871551
61,422,2.38081,48.871831
62,258,2.378569,48.871551
63,368,2.326475,48.897572
64,389,2.380344,48.87295
65,314,2.378569,48.871551
66,167,2.384325,48.87365
67,178,2.377117,48.857788
68,242,2.345658,48.894268
69,285,2.35356,48.88818
70,171,2.38528,48.867612
71,200,2.382835,48.872492
72,201,2.382835,48.872492
73,363,2.352327,48.884492
74,394,2.380344,48.87295
75,380,2.378569,48.871551
76,238,2.380108,48.872552
77,271,2.395924,48.870092
78,284,2.35356,48.88818
79,288,2.35356,48.88818
80,319,2.378569,48.871551
81,343,2.352327,48.884492
82,214,2.38021,48.872415
83,223,2.382239,48.871101
84,318,2.378569,48.871551
85,168,2.371668,48.87205
86,169,2.355812,48.837033
87,185,2.377117,48.857788
88,299,2.35356,48.88818
89,327,2.378569,48.871551
90,382,2.378569,48.871551
91,411,2.324427,48.891276
92,252,2.378569,48.871551
93,287,2.35356,48.88818
94,209,2.38021,48.872415
95,267,2.378569,48.871551
96,297,2.35356,48.88818
97,366,2.352327,48.884492
98,220,2.382239,48.871101
99,312,2.378569,48.871551
100,198,2.382835,48.872492
101,212,2.38021,48.872415
102,408,2.320539,48.890958
103,182,2.377117,48.857788
104,260,2.378569,48.871551
105,283,2.35356,48.88818
106,227,2.382315,48.872551
107,398,2.380344,48.87295
108,425,2.38081,48.871831
109,426,2.38081,48.871831
110,308,2.378569,48.871551
111,166,2.384325,48.87365
112,348,2.352327,48.884492
113,428,2.38081,48.871831
114,432,2.38081,48.871831
115,433,2.407594,48.84437
116,329,2.378569,48.871551
117,274,2.387388,48.856245
118,418,2.382496,48.850301
119,186,2.377117,48.857788
120,406,2.379566,48.871157
121,264,2.378569,48.871551
122,356,2.352327,48.884492
123,361,2.352327,48.884492
124,393,2.3412,48.85693
125,401,2.380344,48.87295
126,400,2.380344,48.87295
127,176,2.38528,48.867612
128,183,2.377117,48.857788
129,270,2.379935,48.850466
130,174,2.38528,48.867612
131,294,2.35356,48.88818
132,304,2.378569,48.871551
133,321,2.378569,48.871551
134,350,2.352327,48.884492
135,323,2.378569,48.871551
136,364,2.352327,48.884492
137,377,2.387388,48.856245
138,173,2.38528,48.867612
139,222,2.382239,48.871101
140,246,2.379483,48.871135
141,282,2.35356,48.88818
142,381,2.378569,48.871551
143,384,2.378569,48.871551
144,413,2.380458,48.871398
145,383,2.378569,48.871551
146,217,2.382802,48.872925
147,253,2.378569,48.871551
148,257,2.378569,48.871551
149,276,2.387388,48.856245
150,291,2.35356,48.88818
151,306,2.378569,48.871551
152,269,2.359903,48.889571
153,344,2.352327,48.884492
154,407,2.379566,48.871157
155,195,2.382835,48.872492
156,196,2.382835,48.872492
157,424,2.38081,48.871831
158,277,2.387388,48.856245
159,286,2.35356,48.88818
160,307,2.378569,48.871551
161,431,2.38081,48.871831
162,262,2.378569,48.871551
163,412,2.380458,48.871398
164,430,2.38081,48.871831
165,197,2.382835,48.872492
166,402,2.380344,48.87295
167,423,2.38081,48.871831
168,254,2.378569,48.871551
169,295,2.35356,48.88818
170,391,2.380344,48.87295
171,435,2.35125,48.885948
172,199,2.382835,48.872492
173,203,2.377117,48.857788
174,219,2.358047,48.866572
175,225,2.382315,48.872551
176,322,2.378569,48.871551
