,genres,id,title,production_countries,vote_average,year
46,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",807,Se7en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1995
49,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",629,The Usual Suspects,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1995
109,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",103,Taxi Driver,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1976
186,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",58372,Reckless,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1995
256,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",11,Star Wars,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1977
292,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",680,Pulp Fiction,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1994
314,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",278,The Shawshank Redemption,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,1994
351,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",13,Forrest Gump,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1994
394,"[{'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",278939,Girl in the Cadillac,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1995
522,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",424,Schindler's List,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1993
586,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",274,The Silence of the Lambs,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1991
706,"[{'id': 99, 'name': 'Documentary'}]",73183,"The Haunted World of Edward D. Wood, Jr.","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1996
834,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",238,The Godfather,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,1972
877,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",567,Rear Window,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1954
882,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",284,The Apartment,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1960
895,"[{'id': 18, 'name': 'Drama'}]",599,Sunset Boulevard,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1950
930,"[{'id': 18, 'name': 'Drama'}]",85638,The Scarlet Letter,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1926
1057,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",500,Reservoir Dogs,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1992
1138,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",975,Paths of Glory,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1957
1151,"[{'id': 99, 'name': 'Documentary'}]",31225,Paris is Burning,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1990
1152,"[{'id': 18, 'name': 'Drama'}]",510,One Flew Over the Cuckoo's Nest,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1975
1154,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",1891,The Empire Strikes Back,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1980
1161,"[{'id': 18, 'name': 'Drama'}]",389,12 Angry Men,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1957
1170,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",769,GoodFellas,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1990
1176,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",539,Psycho,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1960
1178,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",240,The Godfather: Part II,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1974
1201,"[{'id': 18, 'name': 'Drama'}]",207,Dead Poets Society,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1989
1236,"[{'id': 35, 'name': 'Comedy'}]",914,The Great Dictator,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1940
1419,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",27322,Love Jones,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1997
1571,"[{'id': 99, 'name': 'Documentary'}]",25099,"Fast, Cheap & Out of Control","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1997
1743,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",188870,Leather Jacket Love Story,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9.0,1998
1761,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",78373,"Dancer, Texas Pop. 81","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10.0,1998
1813,"[{'id': 18, 'name': 'Drama'}]",102304,Whatever,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1998
2216,"[{'id': 18, 'name': 'Drama'}]",73,American History X,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1998
2217,"[{'id': 99, 'name': 'Documentary'}]",18603,Hands on a Hard Body: The Documentary,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.7,1997
2524,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",29239,The Mummy's Tomb,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1942
2743,"[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]",24128,Stop Making Sense,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.7,1984
3030,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",497,The Green Mile,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1999
3189,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",901,City Lights,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1931
3220,"[{'id': 99, 'name': 'Documentary'}]",20423,For All Mankind,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.3,1989
3342,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",3082,Modern Times,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1936
3727,"[{'id': 35, 'name': 'Comedy'}]",38548,Margaret Cho: I'm the One That I Want,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.7,2000
4099,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",77,Memento,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,2000
4878,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}]",37257,Witness for the Prosecution,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.1,1957
6205,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",251053,Washington Heights,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,2002
6362,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",45139,Jesus,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.9,1979
6472,"[{'id': 99, 'name': 'Documentary'}]",1778,The Backyard,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9.0,2002
6527,"[{'id': 99, 'name': 'Documentary'}]",26246,Incident at Oglala,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.2,1992
6698,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",88641,There Goes My Baby,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",8.5,1994
7541,"[{'id': 18, 'name': 'Drama'}]",107499,A Better Place,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9.0,1997
